2025-12-03T08:38:55.224Z [sh]: Setting WiFi Regulatory domain to GB.
2025-12-03T08:38:55.277Z [sh]: /opt/secure/wifi/wpa_supplicant.conf file exists and configurations are present
2025-12-03T08:38:55.303Z [sh]: Country code is present , No need to change
2025-12-03T08:38:55.357Z [sh]: wowlan_triggers already present in /opt/secure/wifi/wpa_supplicant.conf, leaving as is
2025-12-03T08:38:55.244Z sh[3152]:  active
2025-12-03T08:38:55.744Z sh[3245]:  1764751135.723917: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=9
2025-12-03T08:38:55.745Z sh[3245]:  1764751135.723923: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=137
2025-12-03T08:38:55.745Z sh[3245]:  1764751135.723930: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=143
2025-12-03T08:38:55.745Z sh[3245]:  1764751135.723936: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=34
2025-12-03T08:38:55.745Z sh[3245]:  1764751135.723943: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=35
2025-12-03T08:38:55.745Z sh[3245]:  1764751135.723949: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=36
2025-12-03T08:38:55.745Z sh[3245]:  1764751135.723956: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=164
2025-12-03T08:38:55.745Z sh[3245]:  1764751135.723962: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=146
2025-12-03T08:38:55.745Z sh[3245]:  1764751135.723969: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=152
2025-12-03T08:38:55.745Z sh[3245]:  1764751135.723975: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=127
2025-12-03T08:38:55.745Z sh[3245]:  1764751135.723982: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=149
2025-12-03T08:38:55.745Z sh[3245]:  1764751135.723988: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=150
2025-12-03T08:38:55.745Z sh[3245]:  1764751135.723995: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=151
2025-12-03T08:38:55.745Z sh[3245]:  1764751135.724001: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=154
2025-12-03T08:38:55.745Z sh[3245]:  1764751135.724008: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=155
2025-12-03T08:38:55.746Z sh[3245]:  1764751135.724014: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=158
2025-12-03T08:38:55.746Z sh[3245]:  1764751135.724020: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=159
2025-12-03T08:38:55.746Z sh[3245]:  1764751135.724027: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=160
2025-12-03T08:38:55.746Z sh[3245]:  1764751135.724033: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=161
2025-12-03T08:38:55.746Z sh[3245]:  1764751135.724040: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=144
2025-12-03T08:38:55.746Z sh[3245]:  1764751135.724046: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=138
2025-12-03T08:38:55.746Z sh[3245]:  1764751135.724053: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=156
2025-12-03T08:38:55.746Z sh[3245]:  1764751135.724066: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=12
2025-12-03T08:38:55.746Z sh[3245]:  1764751135.724073: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=171
2025-12-03T08:38:55.747Z sh[3245]:  1764751135.724080: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=81
2025-12-03T08:38:55.747Z sh[3245]:  1764751135.724103: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=10
2025-12-03T08:38:55.747Z sh[3245]:  1764751135.724110: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=12
2025-12-03T08:38:55.747Z sh[3245]:  1764751135.724116: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=13
2025-12-03T08:38:55.747Z sh[3245]:  1764751135.724123: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=14
2025-12-03T08:38:55.747Z sh[3245]:  1764751135.724130: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=15
2025-12-03T08:38:55.747Z sh[3245]:  1764751135.724138: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=16
2025-12-03T08:38:55.747Z sh[3245]:  1764751135.724144: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=17
2025-12-03T08:38:55.747Z sh[3245]:  1764751135.724151: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=18
2025-12-03T08:38:55.747Z sh[3245]:  1764751135.724157: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=19
2025-12-03T08:38:55.747Z sh[3245]:  1764751135.724163: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=127
2025-12-03T08:38:55.747Z sh[3245]:  1764751135.724169: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=37
2025-12-03T08:38:55.747Z sh[3245]:  1764751135.724176: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=54
2025-12-03T08:38:55.747Z sh[3245]:  1764751135.724182: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=56
2025-12-03T08:38:55.748Z sh[3245]:  1764751135.724190: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=57
2025-12-03T08:38:55.748Z sh[3245]:  1764751135.724196: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=58
2025-12-03T08:38:55.748Z sh[3245]:  1764751135.724202: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=59
2025-12-03T08:38:55.748Z sh[3245]:  1764751135.724209: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=60
2025-12-03T08:38:55.748Z sh[3245]:  1764751135.724217: nl80211: Supported vendor event: vendor_id=0x0 subcmd=0
2025-12-03T08:38:55.748Z sh[3245]:  1764751135.724224: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=80
