Jan 16 01:31:49 dnsmasq[4577]: started, version 2.90 cachesize 400
Jan 16 01:31:49 dnsmasq[4577]: compile time options: IPv6 GNU-getopt DBus no-UBus no-i18n no-IDN DHCP DHCPv6 no-Lua TFTP no-conntrack ipset no-nftset auth no-cryptohash no-DNSSEC loop-detect inotify dumpfile
Jan 16 01:39:06 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:07 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:07 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:07 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:07 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:07 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:07 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:08 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:08 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:08 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:08 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:08 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:08 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:08 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:08 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:09 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:09 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:09 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:09 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:09 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:09 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:09 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:09 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:09 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:09 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:09 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:09 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:09 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:09 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:09 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:10 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:10 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:10 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:10 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:11 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:11 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:12 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:12 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:12 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:12 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:13 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:14 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:14 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:14 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:15 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:15 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:15 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:15 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:15 dnsmasq[4577]: Poll listen presence mq
