Jan 15 02:46:34 dnsmasq[4549]: started, version 2.90 cachesize 400
Jan 15 02:46:34 dnsmasq[4549]: compile time options: IPv6 GNU-getopt DBus no-UBus no-i18n no-IDN DHCP DHCPv6 no-Lua TFTP no-conntrack ipset no-nftset auth no-cryptohash no-DNSSEC loop-detect inotify dumpfile
Jan 16 02:35:33 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:33 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:33 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:33 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:33 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:33 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:33 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:33 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:33 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:33 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:33 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:34 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:34 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:34 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:34 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:34 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:34 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:34 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:34 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:35 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:35 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:35 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:36 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:37 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:37 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:37 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:37 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:38 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:38 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:38 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:39 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:47 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:47 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:47 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:47 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:48 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:48 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:48 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:36:00 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:36:00 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:36:00 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:36:00 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:36:00 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:36:00 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:36:00 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:36:00 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:36:01 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:36:01 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:36:01 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:36:01 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:37:36 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:37:36 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:38:55 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:38:55 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:38:57 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:38:57 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:38:57 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:38:57 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:04 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:08 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:08 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:08 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:08 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:08 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:08 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:08 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:08 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:09 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:36 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:37 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:37 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:37 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:37 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:38 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:38 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:55 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:55 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:59 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:39:59 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:05 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:07 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:07 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:07 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:07 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:07 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:07 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:12 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:12 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:12 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:12 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:12 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:12 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:31 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:31 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:31 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:55 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:40:55 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:41:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:41:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:41:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:41:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:41:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:41:55 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:41:55 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:42:10 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:42:10 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:42:10 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:42:10 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:42:12 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:42:12 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:42:12 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:42:12 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:42:27 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:42:27 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:42:27 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:42:27 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:42:27 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:42:27 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:42:27 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:42:27 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:42:55 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:42:55 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:43:23 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:43:23 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:43:36 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:43:36 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:43:36 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:43:36 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:43:36 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:43:36 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:43:36 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:43:55 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:43:55 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:44:09 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:44:09 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:44:09 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:44:55 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:44:55 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:45:55 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:45:55 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:46:42 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:46:42 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:46:42 dnsmasq[4549]: Poll listen presence mq
