2025-12-03T08:38:56.975Z bluetoothd[3410]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 0000110c-0000-1000-8000-00805f9
2025-12-03T08:38:56.975Z bluetoothd[3410]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 0000110e-0000-1000-8000-00805f9
2025-12-03T08:38:56.975Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:adapter_service_insert() /org/bluez/hci0
2025-12-03T08:38:56.975Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:add_uuid() sending add uuid command for index 0
2025-12-03T08:38:56.975Z bluetoothd[3410]:  ../bluez-5.48/profiles/audio/a2dp.c:a2dp_sink_server_probe() path /org/bluez/hci0
2025-12-03T08:38:56.975Z bluetoothd[3410]:  ../bluez-5.48/profiles/audio/a2dp.c:a2dp_source_server_probe() path /org/bluez/hci0
2025-12-03T08:38:56.975Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:btd_adapter_unblock_address() hci0 00:00:00:00:00:00
2025-12-03T08:38:56.975Z bluetoothd[3410]:  ../bluez-5.48/src/device.c:restore_file()
2025-12-03T08:38:56.975Z bluetoothd[3410]:  ../bluez-5.48/src/device.c:restore_file() Check if we need to recover: /proc/self/fd/300/D4:DA:CD:CB:2D:7B/20:44:41:00:12:6D/info, dir name /proc/self/fd/300/D4:DA:CD:CB:2D:7B/20:44:41:00:12:6D/
2025-12-03T08:38:56.976Z bluetoothd[3410]:  ../bluez-5.48/src/device.c:restore_file() Check file: target file info. versus dname info
2025-12-03T08:38:56.976Z bluetoothd[3410]:  ../bluez-5.48/src/device.c:restore_file() Ignore file: info
2025-12-03T08:38:56.976Z bluetoothd[3410]:  ../bluez-5.48/src/device.c:restore_file() Check file: target file info. versus dname attributes
2025-12-03T08:38:56.976Z bluetoothd[3410]:  ../bluez-5.48/src/device.c:restore_file() Ignore file: attributes
2025-12-03T08:38:56.976Z bluetoothd[3410]:  ../bluez-5.48/src/device.c:restore_file()
2025-12-03T08:38:56.976Z bluetoothd[3410]:  ../bluez-5.48/src/device.c:restore_file() Check if we need to recover: /proc/self/fd/300/D4:DA:CD:CB:2D:7B/20:44:41:00:12:6D/attributes, dir name /proc/self/fd/300/D4:DA:CD:CB:2D:7B/20:44:41:00:12:6D/
2025-12-03T08:38:56.976Z bluetoothd[3410]:  ../bluez-5.48/src/device.c:restore_file() Check file: target file attributes. versus dname info
2025-12-03T08:38:56.976Z bluetoothd[3410]:  ../bluez-5.48/src/device.c:restore_file() Ignore file: info
2025-12-03T08:38:56.977Z bluetoothd[3410]:  ../bluez-5.48/src/device.c:restore_file() Check file: target file attributes. versus dname attributes
2025-12-03T08:38:56.977Z bluetoothd[3410]:  ../bluez-5.48/src/device.c:restore_file() Ignore file: attributes
2025-12-03T08:38:56.977Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:get_ltk_info() 20:44:41:00:12:6D
2025-12-03T08:38:56.977Z bluetoothd[3410]:  ../bluez-5.48/src/device.c:device_create_from_storage() address 20:44:41:00:12:6D
2025-12-03T08:38:56.977Z bluetoothd[3410]:  ../bluez-5.48/src/device.c:device_new() address 20:44:41:00:12:6D
2025-12-03T08:38:56.977Z bluetoothd[3410]:  ../bluez-5.48/src/device.c:device_new() Creating device /org/bluez/hci0/dev_20_44_41_00_12_6D
2025-12-03T08:38:56.997Z bluetoothd[3410]:  ../bluez-5.48/src/device.c:btd_device_set_temporary() temporary 0
2025-12-03T08:38:56.997Z bluetoothd[3410]:  ../bluez-5.48/src/device.c:device_set_bonded()
2025-12-03T08:38:56.997Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:load_link_keys() hci0 keys 0 debug_keys 0
2025-12-03T08:38:56.997Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:load_ltks() hci0 keys 1
2025-12-03T08:38:56.997Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:load_irks() hci0 irks 1
2025-12-03T08:38:56.997Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:load_conn_params() hci0 conn params 1
2025-12-03T08:38:56.997Z bluetoothd[3410]:  ../bluez-5.48/src/device.c:device_probe_profiles() Probing profiles for device 20:44:41:00:12:6D
