2025-12-03T08:38:56.909Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:btd_adapter_new() Pairable timeout: 180 seconds
2025-12-03T08:38:56.909Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:index_added() sending read info command for index 0
2025-12-03T08:38:56.909Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:read_info_complete() index 0 status 0x00
2025-12-03T08:38:56.909Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:clear_uuids() sending clear uuids command for index 0
2025-12-03T08:38:56.909Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:clear_devices() sending clear devices command for index 0
2025-12-03T08:38:56.910Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:set_mode() sending set mode command for index 0
2025-12-03T08:38:56.910Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:set_mode() sending set mode command for index 0
2025-12-03T08:38:56.910Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:set_mode() sending set mode command for index 0
2025-12-03T08:38:56.910Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:set_privacy() sending set privacy command for index 0
2025-12-03T08:38:56.910Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:set_privacy() setting privacy mode 0x00 for index 0
2025-12-03T08:38:56.910Z bluetoothd[3416]:  ../bluez-5.48/src/gatt-database.c:btd_gatt_database_new() GATT Manager registered for adapter: /org/bluez/hci0
2025-12-03T08:38:56.911Z bluetoothd[3416]:  ../bluez-5.48/src/advertising.c:btd_adv_manager_new() LE Advertising Manager created for adapter: /org/bluez/hci0
2025-12-03T08:38:56.938Z bluetoothd[3416]:  ../bluez-5.48/profiles/audio/a2dp.c:media_server_probe() path /org/bluez/hci0
2025-12-03T08:38:56.938Z bluetoothd[3416]:  ../bluez-5.48/plugins/hostname.c:hostname_probe()
2025-12-03T08:38:56.938Z bluetoothd[3416]:  ../bluez-5.48/profiles/network/manager.c:panu_server_probe() path /org/bluez/hci0
2025-12-03T08:38:56.938Z bluetoothd[3416]:  ../bluez-5.48/profiles/network/server.c:server_register() Registered interface org.bluez.NetworkServer1 on path /org/bluez/hci0
2025-12-03T08:38:56.938Z bluetoothd[3416]:  ../bluez-5.48/profiles/network/manager.c:gn_server_probe() path /org/bluez/hci0
2025-12-03T08:38:56.938Z bluetoothd[3416]:  ../bluez-5.48/profiles/network/manager.c:nap_server_probe() path /org/bluez/hci0
2025-12-03T08:38:56.938Z bluetoothd[3416]:  ../bluez-5.48/profiles/audio/avrcp.c:avrcp_controller_server_probe() path /org/bluez/hci0
2025-12-03T08:38:56.939Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:adapter_service_add() /org/bluez/hci0
2025-12-03T08:38:56.939Z bluetoothd[3416]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Adding record with handle 0x10001
2025-12-03T08:38:56.939Z bluetoothd[3416]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 00000017-0000-1000-8000-00805f9
2025-12-03T08:38:56.939Z bluetoothd[3416]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 00000100-0000-1000-8000-00805f9
2025-12-03T08:38:56.939Z bluetoothd[3416]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 00001002-0000-1000-8000-00805f9
2025-12-03T08:38:56.939Z bluetoothd[3416]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 0000110e-0000-1000-8000-00805f9
2025-12-03T08:38:56.939Z bluetoothd[3416]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 0000110f-0000-1000-8000-00805f9
2025-12-03T08:38:56.939Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:adapter_service_insert() /org/bluez/hci0
2025-12-03T08:38:56.939Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:add_uuid() sending add uuid command for index 0
2025-12-03T08:38:56.940Z bluetoothd[3416]:  ../bluez-5.48/profiles/audio/avrcp.c:avrcp_target_server_probe() path /org/bluez/hci0
2025-12-03T08:38:56.940Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:adapter_service_add() /org/bluez/hci0
2025-12-03T08:38:56.940Z bluetoothd[3416]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Adding record with handle 0x10002
2025-12-03T08:38:56.940Z bluetoothd[3416]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 00000017-0000-1000-8000-00805f9
2025-12-03T08:38:56.940Z bluetoothd[3416]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 00000100-0000-1000-8000-00805f9
2025-12-03T08:38:56.940Z bluetoothd[3416]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 00001002-0000-1000-8000-00805f9
2025-12-03T08:38:56.940Z bluetoothd[3416]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 0000110c-0000-1000-8000-00805f9
2025-12-03T08:38:56.940Z bluetoothd[3416]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 0000110e-0000-1000-8000-00805f9
2025-12-03T08:38:56.940Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:adapter_service_insert() /org/bluez/hci0
2025-12-03T08:38:56.940Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:add_uuid() sending add uuid command for index 0
2025-12-03T08:38:56.941Z bluetoothd[3416]:  ../bluez-5.48/profiles/audio/a2dp.c:a2dp_sink_server_probe() path /org/bluez/hci0
2025-12-03T08:38:56.941Z bluetoothd[3416]:  ../bluez-5.48/profiles/audio/a2dp.c:a2dp_source_server_probe() path /org/bluez/hci0
2025-12-03T08:38:56.941Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:btd_adapter_unblock_address() hci0 00:00:00:00:00:00
2025-12-03T08:38:56.941Z bluetoothd[3416]:  ../bluez-5.48/src/device.c:restore_file()
2025-12-03T08:38:56.941Z bluetoothd[3416]:  ../bluez-5.48/src/device.c:restore_file() Check if we need to recover: /proc/self/fd/300/D4:52:EE:59:E3:E9/20:44:41:02:DC:C0/info, dir name /proc/self/fd/300/D4:52:EE:59:E3:E9/20:44:41:02:DC:C0/
2025-12-03T08:38:56.941Z bluetoothd[3416]:  ../bluez-5.48/src/device.c:restore_file() Check file: target file info. versus dname info
2025-12-03T08:38:56.941Z bluetoothd[3416]:  ../bluez-5.48/src/device.c:restore_file() Ignore file: info
2025-12-03T08:38:56.941Z bluetoothd[3416]:  ../bluez-5.48/src/device.c:restore_file() Check file: target file info. versus dname attributes
2025-12-03T08:38:56.941Z bluetoothd[3416]:  ../bluez-5.48/src/device.c:restore_file() Ignore file: attributes
2025-12-03T08:38:56.942Z bluetoothd[3416]:  ../bluez-5.48/src/device.c:restore_file()
2025-12-03T08:38:56.942Z bluetoothd[3416]:  ../bluez-5.48/src/device.c:restore_file() Check if we need to recover: /proc/self/fd/300/D4:52:EE:59:E3:E9/20:44:41:02:DC:C0/attributes, dir name /proc/self/fd/300/D4:52:EE:59:E3:E9/20:44:41:02:DC:C0/
2025-12-03T08:38:56.942Z bluetoothd[3416]:  ../bluez-5.48/src/device.c:restore_file() Check file: target file attributes. versus dname info
2025-12-03T08:38:56.942Z bluetoothd[3416]:  ../bluez-5.48/src/device.c:restore_file() Ignore file: info
2025-12-03T08:38:56.942Z bluetoothd[3416]:  ../bluez-5.48/src/device.c:restore_file() Check file: target file attributes. versus dname attributes
2025-12-03T08:38:56.942Z bluetoothd[3416]:  ../bluez-5.48/src/device.c:restore_file() Ignore file: attributes
2025-12-03T08:38:56.942Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:get_ltk_info() 20:44:41:02:DC:C0
2025-12-03T08:38:56.942Z bluetoothd[3416]:  ../bluez-5.48/src/device.c:device_create_from_storage() address 20:44:41:02:DC:C0
2025-12-03T08:38:56.942Z bluetoothd[3416]:  ../bluez-5.48/src/device.c:device_new() address 20:44:41:02:DC:C0
2025-12-03T08:38:56.943Z bluetoothd[3416]:  ../bluez-5.48/src/device.c:device_new() Creating device /org/bluez/hci0/dev_20_44_41_02_DC_C0
2025-12-03T08:38:56.943Z bluetoothd[3416]:  ../bluez-5.48/src/device.c:btd_device_set_temporary() temporary 0
2025-12-03T08:38:56.943Z bluetoothd[3416]:  ../bluez-5.48/src/device.c:device_set_bonded()
2025-12-03T08:38:56.943Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:load_link_keys() hci0 keys 0 debug_keys 0
2025-12-03T08:38:56.943Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:load_ltks() hci0 keys 1
2025-12-03T08:38:56.943Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:load_irks() hci0 irks 1
2025-12-03T08:38:56.943Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:load_conn_params() hci0 conn params 1
2025-12-03T08:38:56.943Z bluetoothd[3416]:  ../bluez-5.48/src/device.c:device_probe_profiles() Probing profiles for device 20:44:41:02:DC:C0
2025-12-03T08:38:56.943Z bluetoothd[3416]:  ../bluez-5.48/profiles/battery/battery.c:batt_probe() BATT profile probe (20:44:41:02:DC:C0)
2025-12-03T08:38:56.943Z bluetoothd[3416]:  ../bluez-5.48/src/service.c:change_state() 0xc6da8: device 20:44:41:02:DC:C0 profile batt-profile state changed: unavailable -> disconnected (0)
2025-12-03T08:38:56.944Z bluetoothd[3416]:  ../bluez-5.48/src/service.c:change_state() 0xbad70: device 20:44:41:02:DC:C0 profile deviceinfo state changed: unavailable -> disconnected (0)
2025-12-03T08:38:56.944Z bluetoothd[3416]:  ../bluez-5.48/profiles/gap/gas.c:gap_probe() GAP profile probe (20:44:41:02:DC:C0)
2025-12-03T08:38:56.944Z bluetoothd[3416]:  ../bluez-5.48/src/service.c:change_state() 0xc6c00: device 20:44:41:02:DC:C0 profile gap-profile state changed: unavailable -> disconnected (0)
2025-12-03T08:38:56.944Z bluetoothd[3416]:  ../bluez-5.48/profiles/input/hog.c:hog_probe() path /org/bluez/hci0/dev_20_44_41_02_DC_C0
